, miles
Adenauer, But
Administration, expects
Aeronautics, and
Alamo, For
All, this
Almighty, God
Ambassador, to
Amendment, the
America, Many
American, Catholic
Americans, lost
Americansborn, in
Americas, new
Americaunions, and
An, error
And, therefore
Article, VI
Athenian, lawmaker
Atlantic, Why
Atlas, which
Bacon, remarked
Badillo, and
Bailey, and
Baptist, preachers
Bay, Colony
Because, it
Bell, scientists
Bill, of
Bishops, in
Bowie, and
Bradford, speaking
British, explorer
But, it
C, booster
Can, we
Canaveral, and
Cape, Canaveral
Carey, 
Catholic, or
Catholics, and
Center, in
Century, that
Chairman, ladies
Charles, Dana
Chief, Executive
Christianity, began
Church, in
ChurchState, separation
Churches, or
City, To
Cold, War
Colony, said
Communist, influence
Congress, For
Congressman, Miller
Constitution, 
Council, of
Crockett, died
Dana, for
De, Gaulle
Democratic, Partys
Department, repudiate
Despite, the
Divided, there
During, the
East, and
Engels, ungratefully
Europe, No
Even, today
Everest, was
Every, newspaper
Executive, whose
F, rocket
Finally, I
First, Amendment
Florida, 
For, space
France, and
Francis, Bacon
Freedom, 
Fuentes, and
Gaulle, and
George, Mallory
Glenn, generating
God, President
Gods, blessing
Governor, Congressman
Greeley, and
Had, we
He, said
Hemisphere, intends
Herald, Tribune
His, help
Horace, Greeley
House, reporters
Houston, a
However, I
I, am
Id, tried
If, this
Im, the
In, the
Information, to
Ireland, and
Is, it
Isaiahto, undo
It, will
Its, conquest
January, 
Jeffersons, statute
Jew, or
Jewish, where
Jews, at
John, Glenn
Karl, Marx
Last, month
Leninism, Stalinism
Let, both
London, correspondent
Mallory, who
Manned, Spacecraft
Many, years
Mariner, spacecraft
Marx, had
McCafferty, and
Meza, Reverend
Miller, Mr
Mount, Everest
Mr, Bell
My, fellow
Nation, are
National, Aeronautics
Nations, own
Nevertheless, every
New, York
Newton, explored
No, man
Nor, will
North, and
Now, the
Office, of
On, many
Only, last
Our, way
Pacific, and
Partys, candidate
Perhaps, there
Pitzer, Mr
Plymouth, Bay
Pope, the
Presidency, In
President, Governor
Presidential, office
Presidenttwo, requirements
Press, But
Protestant, faith
Protestants, and
Quaker, or
Reck, Im
Religious, Freedom
Republicans, Nor
Reverend, Reck
Rice, will
Rights, the
Saturn, missile
Secret, Service
Senate, satisfied
Senator, Wiley
Service, man
Seventeenth, Century
Since, this
So, it
Solon, decreed
Some, 
South, Pacific
Soviet, Union
Space, expenditures
Spacecraft, Center
Stalinism, revolution
State, and
Stated, for
States, of
Statute, of
Surely, the
Technical, institutions
Texas, We
Thank, you
That, budget
The, growth
Then, about
There, is
These, are
They, call
This, years
Thomas, Senator
Those, who
Tiros, satellites
To, be
Today, I
Together, let
Transit, satellites
Tribune, and
Union, The
Unitarian, or
United, States
VI, of
Vatican, against
Venus, is
Versus, the
Vice, President
Virginia, Statute
Virginias, harassment
War, Information
Washington, correspondents
We, have
Webb, Mr
Well, space
West, will
What, was
Whatever, issue
Whether, it
While, the
White, House
Why, does
Wiley, and
Will, you
William, Bradford
With, a
Within, these
Without, debate
Yet, the
York, newspaper
You, may
a, great
ability, preserve
abolish, all
about, half
absence, of
absolute, where
accelerators, on
accept, one
accidental, selfdestruction
accompanied, with
accordance, with
account, from
accuracy, of
acquire, through
acquiring, through
act, of
action, that
actions, are
activity, This
acts, Why
add, with
additional, tests
admit, them
adopted, The
advanced, Saturn
advancing, around
adventure, on
adventures, of
adversary, we
affair, neither
again, But
againnot, as
against, the
age, of
agents, to
aggression, or
ago, the
ahead, The
aid, to
air, shattered
airplanes, became
alarmed, by
alert, the
alerting, the
alike, that
alive, and
all, the
alliance, North
allies, whose
allow, to
alloys, some
almost, every
alone, to
already, created
also, to
alter, that
alteration, at
always, omitting
am, delighted
amendments, guarantees
among, the
amuse, and
an, unknown
analysis, of
ancient, heritageand
and, greatest
anew, the
anewremembering, on
anger, public
animals, to
announced, need
another, country
answer, to
answerable, courage
answered, the
antiCatholic, vote
anxious, to
any, money
anyone, in
anything, it
anywhere, in
apart, at
apologize, for
apparently, necessary
appeal, I
appealed, to
appeals, were
appoint, him
appreciate, your
appropriately, require
arbitrarily, withholding
arbitrary, restrictions
are, there
area, to
armies, by
arms, we
armsand, bring
around, this
arouse, to
article, I
arts, and
as, we
ask, Gods
asked, why
asking, His
asks, itself
assault, on
assembled, in
assembly, of
assist, free
assistance, confident
assumption, of
assure, you
asunder, To
at, this
atmosphere, at
atom, yet
attack, as
attacks, on
attend, any
attended, myself
attending, church
attention, to
attitudes, of
automobiles, with
available, Only
await, us
awaiting, a
away, from
back, the
backwash, of
balance, of
balances, permit
banner, of
baptized, then
barrier, But
based, largely
basis, that
battle, though
be, done
beachhead, of
bean, a
bear, the
became, available
because, that
become, the
becoming, merely
been, experienced
before, the
began, less
begin, In
beginningsignifying, renewal
behind, and
being, created
belaboring, those
belief, that
beliefs, for
believe, in
belonged, to
beneficial, to
benefits, await
bequeath, the
best, of
better, than
between, the
beyond, and
bias, in
billion, from
bills, the
binding, upon
birth, control
bitter, peace
blessing, on
bloc, voting
block, and
boasted, of
body, and
bold, Im
bonds, of
booster, rocket
border, we
borders, have
born, to
both, must
bourgeois, cheating
boycott, of
break, the
breathtaking, pace
bribery, or
brief, I
bring, to
broke, and
brother, died
brotherhood, That
budget, now
building, to
built, at
burden, of
burdens, 
buried, not
business, in
businessman, or
businessmen, and
but, I
by, new
call, to
came, before
campaign, have
can, be
candid, about
candidate, for
cannot, be
capable, of
capitalistic, New
capsule, history
carefully, select
carrying, all
cart, with
case, the
casting, off
cause, me
causing, heat
caves, to
celebration, of
celestial, body
censor, the
censorship, gambling
cents, a
centuries, and
century, tempered
ceremony, service
certain, that
chains, of
challenge, is
chance, of
change, and
cheating, But
checks, and
chief, topic
child, in
children, I
choice, where
choices, to
choose, to
church, in
churches, 
cigarettes, and
cigars, every
circled, the
cite, the
cited, to
citizen, to
citizens, that
city, and
civilian, or
civility, is
classifications, I
clear, and
climb, it
close, at
closed, society
clustered, together
coast, of
cold, and
colleague, it
collective, comprehension
college, and
colonial, control
combat, conditions
combined, That
combines, military
come, again
comes, support
comfort, from
comforts, against
coming, age
command, of
commend, this
commerce, Let
committed, today
common, newspaper
communications, food
communists, may
community, During
companies, and
comparable, to
compass, have
compel, prohibit
complaining, that
complaints, about
complete, confidence
complex, exploration
comprehension, No
computers, for
concealed, not
concealment, That
concede, any
concern, both
concerning, a
condemn, with
condense, if
condition, to
conditioned, by
conditions, then
conducts, the
conferences, to
confidence, in
confident, that
conflict, in
confronts, us
conquer, the
conquered, by
conquest, deserves
conscience, of
conscientious, public
conscripted, vast
consequences, of
consider, these
considerable, time
consideration, On
considering, all
conspiracy, that
constantly, saidthat
construct, other
context, from
contract, for
contradictory, in
contrary, to
control, communications
controversy, And
convert, our
cool, for
cooperate, wholeheartedly
cooperation, many
cooperative, ventures
corners, of
correct, it
correspondent, history
correspondents, Nor
cost, of
costs, us
could, cause
counter, the
countries, that
country, rode
countrys, peril
courage, If
courier, of
course, Tiros
courseboth, sides
courses, that
courteous, qualities
courts, have
cover, them
coverage, and
covert, operations
create, new
created, a
creating, a
crime, for
crises, and
critical, issues
criticism, no
critics, of
crossed, by
cultural, and
customarily, joined
danger, I
dangerous, and
dangers, Surely
dare, not
dark, powers
day, they
days, nor
deadly, atom
deal, of
debate, without
decade, I
decide, whether
decided, on
decision, last
decisions, that
declaration, of
declared, stands
declaredand, however
decreed, it
dedication, of
deeds, let
deedsin, a
defend, the
defending, freedom
degree, and
deliberately, in
delighted, that
deliver, the
demanded, recently
demands, in
democracy, recognizes
denied, office
deny, it
depends, on
depths, and
deserts, eradicate
deserve, to
deserves, the
despair, know
despite, that
destroy, other
destruction, but
details, concerning
determined, and
deterred, The
develop, penicillin
devote, every
devoting, his
devotion, which
dictates, And
did, he
die, on
died, Fuentes
differ, I
different, now
differs, from
difficulties, and
dilemma, faced
dimensions, of
dinner, his
diplomat, from
diplomatic, intelligence
direct, or
directly, or
disagree, with
disavow, either
discipline, no
disciplined, by
disclosures, to
discuss, or
discussion, of
disdain, and
disease, and
disloyal, group
dispels, old
displayed, by
dissent, to
dissenters, are
distinguished, guests
divide, us
divided, loyalty
division, which
divorce, censorship
do, the
doctors, bills
does, Rice
dofor, we
doing, all
done, before
dont, think
double, the
doubling, every
doubt, that
dropping, it
during, the
duty, of
each, one
earlier, occasions
early, in
earth, reentering
easy, but
ecclesiastical, source
economic, scientific
editor, and
editors, I
educate, and
education, will
efficient, machine
effort, of
efforts, over
eight, years
either, my
elect, him
elected, on
election, then
elections, on
electric, lights
embarked, Thank
embattled, we
emerged, from
emphasize, from
employed, But
encourage, the
end, of
endeavor, will
endeavors, and
ended, up
endorsed, ChurchState
enemies, a
enemy, are
enemys, covert
energies, and
energy, the
engaged, in
engine, provided
engineering, community
engineers, in
engines, of
engulf, all
enjoy, the
enlarge, the
enriched, by
enterprised, and
entertain, not
environment, by
equal, fervor
equals, where
equipment, needed
equivalent, to
eradicate, disease
error, does
errors, and
escape, religious
escaping, either
espionage, that
establishing, a
even, if
events, of
eventually, terminating
ever, embarked
every, man
evolution, of
exacting, tests
examine, the
example, that
except, at
excessive, and
exchange, places
excuse, to
execute, the
exempt, from
exercise, of
expand, its
expanding, its
expect, to
expects, to
expenditure, is
expenditures, will
expense, of
expenses, to
experienced, fitted
exploration, in
explore, the
explored, and
explorer, George
extending, his
extent, that
eyes, of
fabric, of
face, No
faced, by
facilities, and
fact, that
facts, that
failing, in
failure, of
failures, but
fairly, judged
faith, and
faithful, friends
faithfully, execute
fame, eventually
families, forced
family, If
far, more
farms, 
fashion, Our
fast, we
favor, upon
favored, churches
fear, in
feeding, the
feet, tall
fellow, citizens
felt, the
fervor, those
festers, only
few, schools
field, made
fierce, the
filled, with
final, judge
finally, the
financial, appeals
find, them
finding, of
finest, watch
finger, of
finished, in
fire, can
fired, If
fires, and
firing, a
first, before
fitted, together
five, years
flag, of
fled, here
flight, But
floor, We
flow, of
fly, the
foe, to
foes, have
follow, in
followed, required
food, and
foolishly, sought
football, field
for, knowledge
forbears, prescribed
force, for
forced, to
forces, and
forebears, fought
forefathers, did
foreign, but
forest, fires
forge, against
forged, by
forget, today
form, of
forms, of
formulate, serious
forth, to
forum, for
forwardand, so
fought, at
founded, each
founder, in
founding, of
free, exercise
freedom, and
freedomand, to
freedoms, for
freedomsymbolizing, an
frequently, in
friend, oppose
friends, United
from, the
frontier, of
fruitful, life
fulfill, and
fulfilled, if
fulfilling, the
fulfillment, of
full, responsibility
fullest, possible
fully, grasp
funds, or
furthest, outpost
futurefor, reducing
gained, and
gains, And
gambling, or
gear, as
general, populace
generating, new
generation, does
generations, have
generosity, of
generous, invitation
gentlemen, I
giant, rocket
give, up
given, this
gives, rise
global, alliance
globe, of
globethe, belief
glow, from
go, to
goal, will
goes, for
going, to
golf, courses
golfing, skill
good, deal
govern, the
governed, by
government, at
governmental, plan
governments, in
grand, and
granted, any
grasp, how
grateful, for
grave, danger
graves, of
gravity, Last
great, British
greater, than
greatest, adventure
greatly, in
green, privileges
ground, shake
group, Catholic
groups, of
growth, What
guarantees, of
guerrillas, by
guests, and
guidance, control
gunpowder, to
had, our
half, that
halfcentury, Stated
hand, I
hands, my
happens, also
harassment, of
hard, because
hardship, support
hardships, as
harm, On
harmonious, society
harvest, of
has, ever
have, ever
having, made
hazardous, and
hazards, are
he, want
headlined, Its
heard, any
heart, of
heat, about
heavily, the
heavy, burdens
heed, in
heirs, of
held, that
help, decide
helped, to
helping, our
here, on
heritageand, unwilling
high, national
highest, mountain
highly, efficient
him, to
hire, agents
his, writ
historic, effort
historically, opposed
history, of
holding, that
holds, in
home, as
honorable, actions
honorary, visiting
hope, and
hopes, for
horizon, for
host, of
hostile, to
hot, as
hour, causing
hours, we
house, To
how, fast
however, fierce
human, history
humanity, in
humbled, by
humiliating, treatment
hundred, days
hunger, and
hungry, children
hurricanes, and
huts, and
icebergs, We
ideal, of
identical, I
if, I
ignorance, new
ill, depends
ills, as
illuminate, that
imitating, its
imminent, It
important, decisions
impose, its
imposed, by
imposes, upon
improved, transmission
in, putting
incisive, the
increase, its
increased, security
increases, the
incumbency, in
independence, of
independent, We
indicate, our
indirection, For
indirectly, upon
indivisible, that
industrial, revolutions
industries, are
industry, medicine
infancy, has
infiltration, instead
influence, until
influenceon, infiltration
inform, to
information, outside
informed, I
informing, and
inherently, and
inside, To
inspection, and
installment, a
instead, of
institutions, such
instructions, on
instrument, in
instruments, of
insuring, the
intelligence, economic
intelligent, and
intend, to
intended, to
intends, to
intention, of
interest, then
international, newsfor
interpret, my
intimidation, instead
into, space
intolerance, will
intricate, instrument
invasion, For
invectiveto, strengthen
invented, capable
invention, and
inventions, already
invest, some
investment, and
invitation, to
invoke, the
iron, tyranny
is, there
issue, may
issues, I
it, and
itand, the
items, But
its, outlays
itself, while
itthere, is
itwe, mean
job, And
jobs, Space
join, in
joined, in
journalism, and
journalist, by
judge, me
judged, But
jungle, of
just, want
justify, it
keeper, of
kind, of
kindly, if
kinds, of
knit, highly
know, what
knowing, that
knowledge, and
known, are
knows, whether
labeled, as
labor, leader
laboratory, facilities
ladies, and
land, or
large, scientific
